Klinik;Nutzername;Local Guide;Anzahl geschriebener Rezensionen;Erfahrungsbericht;Sterne;Datum der Rezension;Likes;Antwort;Datum der Antwort;URL;Extraktionsdatum
MEDICLIN Seepark Klinik  ;Melinda Matysek;Nein;1 Rezension;"Der Stern ist zu viel....... Reine  Katastrophe!!! Sorry kann nicht so gut schreiben.  Achtung!Die Klinik will nur Geld die Patienten sind egal
Ich musste dort für 40 Tage dahin wegen ein schreiben
Für meine eigendliche Reha in Bayern nur für Adipositas!
Ich habe einen Anruf bekommen das ich in einer Woche kommen kann!! Das ist viel Zu kurzfristig  ich hatte Glück das mein Vater
Frei hatte naja. Als ich da war musste ich in die iso 3 tage lang
Okay habe ich akzeptiert. Als ich aus der ISO draussen war bin ich auf die Stadion gekommen mit einem Mädchen was liebe war nach 3 Tage habe ich Kopfschmerzen bekommen habe davor gesagt das ich öfters an Kopfschmerzen leide !! Ich stehe vor der mz = medizinische zentrale. Mit Schwindel Übelkeit und Erbrechen
Ich habe nach einem schmerz Mittel gefragt...die Antwort
Musst du mehr trinken ...bin mindestens 4 mal dahin gekrochen und gefragt nach einem schmerz Mittel dann haben sie es mir endlich gegeben was soll das wie kann man trinken mit Erbrechen und Schmerzen naja....nach 2 tage habe ich Ohr Schmerzen bekommen der Arzt hat mir nur ibu gegeben für Schmerzen nach 4 Tage ist es schlimmer geworden und habe Fieber bekommen..
Zum Schutz musste ich mit meiner bettnachberin wieder 3 tage in der Isolation Station hocken was soll das ? Ich hatte mega ohrenschmerzen nach einer Woche hat mein anderes Ohr weh getan. Habe sie mir wieder ibu gegeben für Schmerzen nicht für die Entzündung...nach 3 Wochen Schmerzen bin ich endlich zum HNO gegangen da meine Mutter 3 mal angerufen hat und sie sich beschwert hat das ich zum HNO muss danach war wieder gut
Die Zeit vergehte und ich habe mich so alleine gefühlt ich hatte kein Ansprechpartner gehabt meine Therapeutin wusste nix von mir...sie hat sich meine Akten nicht durch gelesen nix..Ich bin sehr enttäuscht...bei den essen war reinste Horror die sind so unsympathisch ich hatte Angst mir was Zu bestellen weil ich dumme Komentare immer bekommen zum Beispiel guck mal auf dein Teller.. Was soll das aus Scham habe ich es weg geschmissen und habe angefangen zu weinen ! Echt Horror ich habe Depressionen und nehme alles anderes war ich war sehr alleine keiner hat mich verstanden..Ich musste mir auch dumme Komentare anhören wie wenn du nicht deine Termine nicht ein hälst kannst du gehen weil du sitzt auf der Krankenkasse und machst nix und die müssen für dich bezahlen .. Ich habe um Hilfe gebeten habe nix bekommen war sehr alleine bin mehr depressiv geworden bis ich keine Kraft mehr hatte habe die Termine nicht mehr wahrgenommen und war ganze Zeit im Bett..dann
Bekomme ich Stress weil och nix mache und mehr zunehme ..
Wie auch Ich Bettel um Hilfe ich bekomme nix ..Ich habe mich früher geritzt seit eigendlich habe ich seit fast 2 Jahren nix mehr gemacht aber ich habe wieder angefangen und ging weiter schlechter
Auf dem Flur sind ganze Zeit Kinder rum gerannt wie die größten
Idioten..Habe mich paar mal Beschwerden nix passiert hatte ein
Nachbar der uns die ganze Zeit terrorisiert hat mit Gerüchten und andere Dinge...Ich wurde als fett bezeichnet in der Klinik wo alle ein Problem hatten ...Als ich nach Hause durfte meine Mutter hatte den Schreck des Lebens ich sah so kaputt aus und keine Kraft mehr.....Bitte geht nicht dahin die wollen nur das Geld!!!!"; 1 Stern ;vor 7 Monaten;5;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;Samantha perl;Nein;Keine Angabe;Kein Text; 2 Sterne ;vor 8 Monaten;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;Fabiusspekulatius Weber;Nein;Keine Angabe;Kein Text; 1 Stern ;vor 8 Monaten;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;Jonas Mattis;Nein;12 Rezensionen;Die Klinik macht eine gute Sache, kann mich nicht beschweren. Mit wurde gut geholfen!; 4 Sterne ;vor 9 Monaten;1;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;Ralf S;Nein;3 Rezensionen;Abgewohnte alte Zimmer, Ärzte mit fehlendem Grundlagenwissen und keinerlei Intention zu helfen. Die Therapeutin war nett.; 1 Stern ;vor 9 Monaten;3;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;Elisa S;Nein;3 Rezensionen;"Meine Tochter (14) hat sich nach Heimweh-Startschwierigkeiten sehr gut aufgehoben gefühlt und viel an Erfahrung mitgenommen für zuhause. Mit Herr B. (Bezugs-Psychologe) kam sie sehr gut zurecht und er hat mich bei Rückfragen auch kontaktiert.
Es gab ein Aufnahme und Abschlussgespräch wie es sich gehört und Tipps für zuhause. Alles in allem sehr zufrieden, einziger Kritikpunkt war für mich, das meine Tochter 2 mal für 48h in Quarantäne gesteckt wurde weil ihr Bettnachbarin Läuse hatte, meine Tochter aber beide male nichts. Sowas muss meiner Meinung nach dann räumlich getrennt werden denn dadurch sind 4 Therapietage ins Wasser gefallen für was, was meine Tochter nicht mal betraf."; 5 Sterne ;vor 9 Monaten;1;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;Christine CD;Nein;5 Rezensionen;"Die Klinik ist schon sehr in die Tage gekommen.
Essen ist echt erschreckend fertig Produkte gefroren wie bei Aldi .
Am schlimmsten man steht in Massen in der Schlange zur Essens Vergabe und muss dann in 10 alles runter schlingen. Die Kids drängeln sich ständig vor und wenn man sich beschwere wird man von der Geschäftsleitung abgebügelt bzw. Es ändere sich in der nächsten Woche.
4 Wochen später alles beim alten.
Die Zimmer sind ok die wc stinken . Die Decken kommen im Flur runter . Wir rennen mit Gesichtsmaske rum Fremde vom Ort rennen ohne hier rein und raus .Die Therapeuten sind ok allerdings hat man nicht das Gefühl zu 100 Prozent ernst genommen zu werden .
Fazit : ich würde hier nicht mehr herkommen da ich das Gefühl hab noch verkorkster wie vorher zu sein."; 2 Sterne ;vor 9 Monaten;5;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;Jana Tadaam;Nein;2 Rezensionen;"Super Klinik. Ich war 2016 wegen einer atypischen Anorexie dort und die Klinik hat mir unglaublich viel geholfen. Meine Therapeutin war super, das Personal war sehr hilfreich und ich hatte tolle Therapiegruppen mit lieben Menschen, die natürlich auch zur Besserung beigetragen haben. Das betreute Essen empfand ich als schwierig, aber das muss nunmal sein und hat sicher auch seinen Teil dazu beigetragen. Shoutout noch an die Pflegeschwester, die sich eine Stunde lang mit mir hingesetzt hat und so viel Geduld und Verständnis aufgebracht hat, als es darum ging mein größtes Angstlebensmittel zu essen. Sollte ich nochmal eine Essstörung haben (was ich natürlich nicht hoffe), würde ich immer wieder dort hingehen. Danke für alles! 🌸

Edit: Riesen Dank auch an die tollen Nachtschwestern, die immer geduldig und verständnisvoll da waren, wenn ich nachts eine Panikattacke hatte."; 5 Sterne ;vor 11 Monaten;2;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;SanYon;Nein;1 Rezension;"Ich war Ende 2018 dort und ich empfand den Aufenthalt einigermaßen okay. Die Therapeuten waren freundlich und haben auch immer versucht sich Zeit für einen zu nehmen. Die Gruppentherapien haben mir auch gut gefallen. Die Lage ist schön und es hat sich sehr gut angeboten mal eine Runde um den See zu gehen, um mal runterzukommen und den Kopf frei zu machen.
Das Mittagessen war allerdings meist sehr enttäuschend. Es gab fast immer das gleiche und das hat dann noch nicht einmal gut geschmeckt. Dies führte dazu, dass ich in einer Woche sehr viel abgenommen hatte und man mir ""drohte"" mich ins betreute Essen zu stecken. Bevor das passierte, bin ich aber wohl abgereist. Die Pfleger waren im Großen und ganzen freundlich und zuvorkommend, leider aber auch ein wenig aufdringlich, haben sich aber sonst immer gut um einen gekümmert. Sport ist in dieser Reha wohl auch ein recht großes Thema, was auch nicht jedem zusagt."; 2 Sterne ;vor einem Jahr;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;Katja Werner;Nein;9 Rezensionen;Ich würde dort nie wieder hin gehen. Organisatorisch gab es riesengroße Probleme. Niemand war wirklich für einen verantwortlich. Als ich ankam gab es keinen Psychologen für mich und zur Abreise nicht mal ein Abschlussgespräch. Das einzige was man dort machen kann ist Sport bis zum umfallen. Ich wurde dort total destabilisiert. Zu Entlassung ging es mir deutlich schlechter als zur Ankunft.; 1 Stern ;vor einem Jahr;7;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;Ro;Ja;25 Rezensionen;Alles in Allem echt in Ordnung... Aber an der Anbindung müsste man echt noch arbeiten ...bsp. wenn man schon für das WLAN zahlen muss und es nur in bestimmten Arealen nutzen kann, dann sollte es auch in ausreichender Bandbreite zur Verfügung stehen; 3 Sterne ;vor einem Jahr;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;Sammy McSam;Nein;3 Rezensionen;"Sehr schöne Klinik meiner Meinung nach. Bin seit fast 3 Wochen hier und soweit sehr zufrieden. Das Personal ist überwiegend total freundlich, die Zimmer werden jeden Tag geputzt und an Hygiene mangelt es generell eher weniger(mir ist nichts aufgefallen).
Außerdem hat man immer was zu tun in Form von kreativen Kursen oder Sportangeboten.
Freue mich auf die nächsten Wochen und die Rehabilitationszeit."; 5 Sterne ;vor einem Jahr;6;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;Celine Pollak;Nein;Keine Angabe;Kein Text; 5 Sterne ;vor einem Jahr;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;Soufo Bela;Nein;2 Rezensionen;"Die Klinik hat sich leider sehr verschlechtert in den letzten Jahren. Beim Reinigungspersonal wird sehr gespart. Die Zimmer und Bäder sowie auch Cafeteria sind sehr schmutzig. Es wird max 2 x die Woche gewischt, und das auch nicht gründlich.
Mütter mit Kindern sind hier dermaßen überfordert und können sich im Grunde nicht auf die Reha einlassen. Die Situation im Speisesaal ist eine Katastrophe.
Es gibt genug Mütter die die Behandlung dort vorzeitig beenden, weil es einfach für alle zu belastend ist. Das finde ich sehr schade, da die Klinik ja dafür wirbt. Vllt sollten sie ihr Patientenklientel einschränken."; 1 Stern ;vor einem Jahr;6;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;Melanie Vogelsang;Nein;15 Rezensionen;"Eigentlich ist ein stern noch zu viel.
Das kaum Ärzte verständliches Deutsch sprechen wurde ja schon erwähnt.
Ich habe mir auch mein Medikament noch Mal selbst besorgen müssen, da mein behandelnder Arzt es vergessen hat zu bestellen. So lief es dann über den Hausarzt
Auch war ich nicht wegen körperlicher Gebrechen da, aber man kümmert sich dort nicht viel um die Psyche. In der Klinik geht es nur um Gewicht, Ernährung und Sport.
Die Therapiepläne sind auch ein Witz.
Manchmal nicht einen einzigen Termin, nächsten Tag dann gehetzt von Therapie zu Therapie rennen .
Oder sie legen Therapien gerne auch in die Zeiten wo keine Kinderbetreuung statt findet.
Fur mich steht fest: nie wieder eine Reha, und auf keinen Fall diese Klinik."; 1 Stern ;vor einem Jahr;14;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;Rudi K.;Ja;56 Rezensionen;Ich bin mehr als nur enttäuscht. Antrag im Januar gestellt, im März wird von der Klinik bestätigt das ich eingeladen werde und im Oktober bekomme ich von der Rentenversicherung eine Ablehnung zur Kostenübernahme da ich die Reha nicht angetreten habe. Mehrfach habe ich in der Klinik telefonisch nachgefragt wann ich eingeladen werde, aber ich würde immer nur hingehalten. Nun habe ich einen Termin in einer anderen Klinik.; 1 Stern ;vor einem Jahr;9;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;Kathrin Klähn;Nein;Keine Angabe;Kein Text; 2 Sterne ;vor einem Jahr;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;der Einceller;Ja;98 Rezensionen;"Eine Klinik die sehr schön abgelegen zur Erholung bereitsteht, tolle Umgebung.
Meine Tochter ist zur Behandlung einer Eßstörung dort hingekommen und kam mit mehr psych. Problemen wieder als sie dort hingefahren ist.
Wenn eine Klinik die Betreuung und Behandlung der ihr anvertrauten Kinder und Jugentlichen nicht gewährleisten kann, dann sollte man sich lieber auf Erwachsene spezialisieren."; 1 Stern ;vor einem Jahr;14;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
MEDICLIN Seepark Klinik  ;Jara Schröder;Nein;4 Rezensionen;Kein Text; 5 Sterne ;vor einem Jahr;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/MEDICLIN+Seepark+Klinik/@52.8236324,10.6832706,15z/data=!4m2!3m1!1s0x0:0x3df95c42798fac31?sa=X&ved=2ahUKEwjap-Pm8_DuAhXE_aQKHQyhD_UQ_BIwCnoECBUQBQ;1062021
